2026-06-04 16:35:16.137 [INFO] src.gene_sets.loader: Logger initialized. Log file: /Users/zhaorongli/.workbuddy/skills/sensory-genomics/logs/sensory_genomics_20260604_163516.log
2026-06-04 16:35:16.146 [ERROR] src.gene_sets.loader: sensory_gene_sets.yaml not found at /Users/zhaorongli/.workbuddy/skills/sensory-genomics/data/sensory_gene_sets.yaml
2026-06-04 16:35:16.158 [ERROR] src.gene_sets.loader: sensory_gene_sets.yaml not found at /Users/zhaorongli/.workbuddy/skills/sensory-genomics/data/sensory_gene_sets.yaml
2026-06-04 16:35:16.160 [ERROR] src.gene_sets.loader: sensory_gene_sets.yaml not found at /Users/zhaorongli/.workbuddy/skills/sensory-genomics/data/sensory_gene_sets.yaml
2026-06-04 16:35:16.162 [ERROR] src.gene_sets.loader: sensory_gene_sets.yaml not found at /Users/zhaorongli/.workbuddy/skills/sensory-genomics/data/sensory_gene_sets.yaml
2026-06-04 16:35:16.164 [ERROR] src.gene_sets.loader: sensory_gene_sets.yaml not found at /Users/zhaorongli/.workbuddy/skills/sensory-genomics/data/sensory_gene_sets.yaml
2026-06-04 16:35:16.166 [ERROR] src.gene_sets.loader: sensory_gene_sets.yaml not found at /Users/zhaorongli/.workbuddy/skills/sensory-genomics/data/sensory_gene_sets.yaml
2026-06-04 16:35:16.168 [ERROR] src.gene_sets.loader: sensory_gene_sets.yaml not found at /Users/zhaorongli/.workbuddy/skills/sensory-genomics/data/sensory_gene_sets.yaml
2026-06-04 16:35:16.169 [ERROR] src.gene_sets.loader: sensory_gene_sets.yaml not found at /nonexistent/path/sensory_gene_sets.yaml
2026-06-04 16:35:16.172 [INFO] src.gene_sets.loader: Loaded gene sets: 2 genes across 1 subsystems
2026-06-04 16:35:16.173 [ERROR] src.gene_sets.loader: sensory_gene_sets.yaml not found at /Users/zhaorongli/.workbuddy/skills/sensory-genomics/data/sensory_gene_sets.yaml
